
Quadro extraído em 29 de Junho de 2026 (13:54:42)
http://www.ine.pt



Localização geográfica (Região agrária/ Ilha);Superfície agrícola utilizada média por exploração (ha) por Localização geográfica (Região agrária/ Ilha) -  Decenal (1) ;
;Período de referência dos dados;
;2019;
;ha ;
106070612: União das freguesias de Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras;97,9;
106070701: Brotas;330,9;
106070702: Cabeção;47,5;
106070703: Mora;157;
106070704: Pavia;328,8;
106021001: Amareleja;21,9;
106021002: Póvoa de São Miguel;45,4;
106021008: Sobral da Adiça;44,2;
106021009: União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador;54,9;
106021010: União das freguesias de Safara e Santo Aleixo da Restauração;55,9;
106070801: Granja;131,8;
106070802: Luz;34;
106070803: Mourão;36,4;
106121201: Alpalhão;27,4;
106121205: Montalvão;45,5;
106121207: Santana;7,2;
106121208: São Matias;19;
106121210: Tolosa;12,4;
106121211: União das freguesias de Arez e Amieira do Tejo;45,1;
106121212: União das freguesias de Espírito Santo, Nossa Senhora da Graça e São Simão;26,2;
106021116: Boavista dos Pinheiros;49,9;
106021118: Colos;92,7;
106021117: Longueira/Almograve;53,4;
106021115: Luzianes-Gare;53,7;
106021102: Relíquias;68,5;
106021103: Sabóia;50;
106021119: Santa Clara-a-Velha;39,1;
106021106: São Luís;49,8;
106021107: São Martinho das Amoreiras;34;
106021120: São Salvador e Santa Maria;55,1;
106021121: São Teotónio;26;
106021122: Vale de Santiago;85,3;
106021111: Vila Nova de Milfontes;39,9;
106021203: Ourique;100,6;
106021206: Santana da Serra;38,5;
106021207: União das freguesias de Garvão e Santa Luzia;67,3;
106021208: União das freguesias de Panoias e Conceição;141,6;
106121304: Foros de Arrão;158,7;
106121301: Galveias;51;
106121305: Longomel;22,2;
106121302: Montargil;77,9;
106121308: União das freguesias de Ponte de Sor, Tramaga e Vale de Açor;72,1;
106121401: Alagoa;17,6;
106121402: Alegrete;11,9;
106121404: Fortios;50,4;
106121411: União das freguesias da Sé e São Lourenço;4,1;
106121412: União das freguesias de Reguengo e São Julião;7,7;
106121413: União das freguesias de Ribeira de Nisa e Carreiras;12,5;
106121410: Urra;79,8;
106070903: Monte do Trigo;77,2;
106070905: Portel;63,8;
106070906: Santana;39;
106070909: União das freguesias de Amieira e Alqueva;80,8;
106070910: União das freguesias de São Bartolomeu do Outeiro e Oriola;71,7;
106070908: Vera Cruz;46,9;
106071001: Montoito;42,9;
106071002: Redondo;58;
106071102: Corval;35,9;
106071103: Monsaraz;32,1;
106071104: Reguengos de Monsaraz;29,4;
106071106: União das freguesias de Campo e Campinho;84,3;
106150901: Abela;122,2;
106150902: Alvalade;142,8;
106150903: Cercal;45,8;
106150904: Ermidas-Sado;121,5;
106150907: Santo André;13,1;
106150910: São Francisco da Serra;31,8;
106150912: União das freguesias de Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra;37,7;
106150913: União das freguesias de São Domingos e Vale de Água;80,6;
106021302: Brinches;36;
106021303: Pias;34,8;
106021308: União das freguesias de Serpa (Salvador e Santa Maria);76,6;
106021309: União das freguesias de Vila Nova de São Bento e Vale de Vargo;42;
106021307: Vila Verde de Ficalho;30;
