
Quadro extraído em 29 de Junho de 2026 (13:26:54)
http://www.ine.pt



Localização geográfica (NUTS - 2013);Proporção de produtores agrícolas singulares (%) por Localização geográfica (NUTS - 2013) e Nível de escolaridade -  Decenal (1) ;;;;;
;Período de referência dos dados;;;;;
;2019;;;;;
;Nível de escolaridade;;;;;
;Total;Nenhum;Básico;Secundário/Pós-secundário;Superior;
;% ;% ;% ;% ;% ;
185140610: União das freguesias de Ereira e Lapa;100;7;70;12;11;
185140609: União das freguesias do Cartaxo e Vale da Pinta;100;5;55;17;23;
185140605: Valada;100;6;62;12;21;
185140608: Vale da Pedra;100;- -;74;21;5;
185140607: Vila Chã de Ourique;100;1;73;13;13;
185140707: Carregueira;100;14;65;16;6;
185140704: Ulme;100;8;64;11;17;
185140708: União das freguesias da Chamusca e Pinheiro Grande;100;5;64;13;18;
185140709: União das freguesias de Parreira e Chouto;100;3;71;16;10;
185140705: Vale de Cavalos;100;9;59;13;20;
185140907: Biscainho;100;11;63;9;17;
185140905: Branca;100;10;67;12;11;
185140902: Couço;100;10;44;11;34;
185140908: Santana do Mato;100;9;64;9;18;
185140903: São José da Lamarosa;100;18;66;7;9;
185140909: União das freguesias de Coruche, Fajarda e Erra;100;9;66;10;15;
185141201: Azinhaga;100;7;64;11;18;
185141202: Golegã;100;5;64;13;18;
185141203: Pombalinho;100;- -;78;11;11;
185141401: Alcobertas;100;5;87;6;2;
185141402: Arrouquelas;100;5;70;20;5;
185141410: Asseiceira;100;3;76;17;3;
185141405: Fráguas;100;11;83;4;1;
185141408: Rio Maior;100;6;73;11;10;
185141411: São Sebastião;100;18;70;9;3;
185141415: União das freguesias de Azambujeira e Malaqueijo;100;9;79;5;7;
185141416: União das freguesias de Marmeleira e Assentiz;100;7;61;20;13;
185141417: União das freguesias de Outeiro da Cortiçada e Arruda dos Pisões;100;4;74;12;10;
185141418: União das freguesias de São João da Ribeira e Ribeira de São João;100;- -;73;16;11;
185141502: Marinhais;100;10;68;16;5;
185141503: Muge;100;- -;75;13;13;
185141507: União das freguesias de Glória do Ribatejo e Granho;100;12;74;7;7;
185141508: União das freguesias de Salvaterra de Magos e Foros de Salvaterra;100;11;73;7;9;
185141601: Abitureiras;100;3;74;14;8;
185141602: Abrã;100;8;78;9;5;
185141604: Alcanede;100;8;81;9;3;
185141605: Alcanhões;100;2;70;21;7;
185141606: Almoster;100;7;66;18;9;
185141607: Amiais de Baixo;100;7;79;7;7;
185141608: Arneiro das Milhariças;100;11;69;14;6;
185141628: Gançaria;100;14;70;14;3;
185141613: Moçarria;100;7;71;13;9;
185141614: Pernes;100;9;66;13;11;
185141616: Póvoa da Isenta;100;1;67;14;18;
185141629: União das freguesias de Achete, Azoia de Baixo e Póvoa de Santarém;100;7;70;16;7;
185141630: União das freguesias de Azoia de Cima e Tremês;100;8;76;8;9;
185141631: União das freguesias de Casével e Vaqueiros;100;11;68;14;7;
185141632: União das freguesias de Romeira e Várzea;100;7;68;13;13;
185141633: União de freguesias da cidade de Santarém;100;1;60;23;16;
185141634: União das freguesias de São Vicente do Paul e Vale de Figueira;100;10;66;13;11;
185141625: Vale de Santarém;100;13;64;16;8;
186120101: Alter do Chão;100;- -;64;14;22;
186120102: Chancelaria;100;2;51;19;28;
186120104: Cunheira;100;- -;75;13;13;
186120103: Seda;100;6;52;17;25;
186120201: Assunção;100;7;56;19;18;
186120202: Esperança;100;11;64;12;14;
186120203: Mosteiros;100;13;62;13;13;
186120302: Aldeia Velha;100;5;43;11;42;
186120303: Avis;100;3;58;9;29;
186120305: Ervedal;100;- -;57;14;30;
186120306: Figueira e Barros;100;12;53;15;21;
186120309: União das freguesias de Alcórrego e Maranhão;100;7;59;9;26;
186120310: União das freguesias de Benavila e Valongo;100;4;66;14;16;
186120401: Nossa Senhora da Expectação;100;6;64;17;13;
186120402: Nossa Senhora da Graça dos Degolados;100;5;55;25;15;
186120403: São João Baptista;100;10;61;13;16;
186120501: Nossa Senhora da Graça de Póvoa e Meadas;100;17;62;9;12;
186120502: Santa Maria da Devesa;100;17;53;17;13;
186120503: Santiago Maior;100;17;57;16;11;
186120504: São João Baptista;100;18;58;8;16;
186120601: Aldeia da Mata;100;6;63;10;20;
186120604: Gáfete;100;15;72;9;4;
186120605: Monte da Pedra;100;8;46;23;23;
186120607: União das freguesias de Crato e Mártires, Flor da Rosa e Vale do Peso;100;3;63;17;17;
186120712: Assunção, Ajuda, Salvador e Santo Ildefonso;100;3;54;14;29;
186120713: Caia, São Pedro e Alcáçova;100;7;54;17;22;
186120706: Santa Eulália;100;3;53;21;24;
186120707: São Brás e São Lourenço;100;7;56;16;20;
186120708: São Vicente e Ventosa;100;3;53;19;25;
186120714: União das freguesias de Barbacena e Vila Fernando;100;9;62;17;12;
186120715: União das freguesias de Terrugem e Vila Boim;100;5;53;22;21;
186120801: Cabeço de Vide;100;4;60;18;18;
186120802: Fronteira;100;8;54;18;20;
186120803: São Saturnino;100;- -;68;10;23;
186120902: Belver;100;6;83;7;4;
186120903: Comenda;100;2;66;10;23;
186120905: Margem;100;10;66;8;15;
186120906: União das freguesias de Gavião e Atalaia;100;2;75;15;8;
186121001: Beirã;100;29;56;11;4;
186121002: Santa Maria de Marvão;100;30;52;6;12;
186121003: Santo António das Areias;100;12;65;13;10;
186121004: São Salvador da Aramenha;100;13;57;13;16;
186121101: Assumar;100;8;85;8;- -;
186121102: Monforte;100;9;58;18;15;
186121103: Santo Aleixo;100;3;61;11;25;
186121104: Vaiamonte;100;4;51;13;32;
186121201: Alpalhão;100;12;64;12;13;
186121205: Montalvão;100;5;54;24;17;
186121207: Santana;100;11;68;6;15;
186121208: São Matias;100;- -;66;15;18;
186121210: Tolosa;100;10;76;7;7;
186121211: União das freguesias de Arez e Amieira do Tejo;100;7;54;20;20;
186121212: União das freguesias de Espírito Santo, Nossa Senhora da Graça e São Simão;100;4;64;18;13;
186121304: Foros de Arrão;100;17;57;7;19;
186121301: Galveias;100;9;65;8;18;
186121305: Longomel;100;10;64;18;8;
186121302: Montargil;100;10;56;14;20;
186121308: União das freguesias de Ponte de Sor, Tramaga e Vale de Açor;100;11;67;11;10;
186121401: Alagoa;100;13;67;9;11;
186121402: Alegrete;100;19;62;13;6;
186121404: Fortios;100;12;43;18;27;
186121411: União das freguesias da Sé e São Lourenço;100;9;58;15;18;
186121412: União das freguesias de Reguengo e São Julião;100;11;63;12;13;
186121413: União das freguesias de Ribeira de Nisa e Carreiras;100;14;60;10;15;
186121410: Urra;100;8;65;16;12;
186121501: Cano;100;9;60;16;15;
186121502: Casa Branca;100;10;52;10;27;
186121503: Santo Amaro;100;3;53;22;22;
186121504: Sousel;100;5;55;14;27;
187070104: Capelins (Santo António);100;11;63;11;15;
187070103: Santiago Maior;100;16;62;8;14;
187070105: Terena (São Pedro);100;12;58;13;17;
187070107: União das freguesias de Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto);100;16;56;12;17;
187070201: Arraiolos;100;5;59;12;24;
187070202: Igrejinha;100;3;55;27;15;
187070208: União das freguesias de Gafanhoeira (São Pedro) e Sabugueiro;100;6;60;20;14;
187070209: União das freguesias de São Gregório e Santa Justa;100;2;40;31;27;
187070206: Vimieiro;100;10;57;18;15;
187070301: Borba (Matriz);100;11;59;14;16;
187070304: Borba (São Bartolomeu);100;- -;50;- -;50;
