
Quadro extraído em 29 de Junho de 2026 (13:46:54)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013);Superfície agrícola utilizada (ha) por Localização geográfica (NUTS - 2013), Composição da superfície agrícola utilizada e Classes de superfície agrícola utilizada -  Decenal (1) ;;;
;;Composição da superfície agrícola utilizada;;;
;;Terras aráveis;Culturas permanentes;Pastagens permanentes;
;;Classes de superfície agrícola utilizada;;;
;;Total;;;
;;ha ;ha ;ha ;
;185140304: Raposa;386;125;900;
;185140401: Alpiarça;3201;1013;1150;
;185110301: Alcoentre;301;643;105;
;185110302: Aveiras de Baixo;231;54;545;
;185110303: Aveiras de Cima;713;257;152;
;185110304: Azambuja;3971;205;751;
;185110310: União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa;352;463;175;
;185110306: Vale do Paraíso;37;78;81;
;185110307: Vila Nova da Rainha;1036;12;32;
;185140504: Barrosa;145;4;28;
;185140501: Benavente;5619;367;5448;
;185140502: Samora Correia;4712;946;14265;
;185140503: Santo Estêvão;447;34;1002;
;185140604: Pontével;315;206;328;
;185140610: União das freguesias de Ereira e Lapa;75;228;77;
;185140609: União das freguesias do Cartaxo e Vale da Pinta;401;161;543;
;185140605: Valada;3359;281;404;
;185140608: Vale da Pedra;188;13;759;
;185140607: Vila Chã de Ourique;1586;389;332;
;185140707: Carregueira;1093;160;661;
;185140704: Ulme;924;486;1857;
;185140708: União das freguesias da Chamusca e Pinheiro Grande;2122;161;1091;
;185140709: União das freguesias de Parreira e Chouto;2277;1728;8249;
;185140705: Vale de Cavalos;2009;585;3285;
;185140907: Biscainho;1215;1773;1677;
;185140905: Branca;633;1215;2667;
;185140902: Couço;3165;3199;11526;
;185140908: Santana do Mato;394;1414;3563;
;185140903: São José da Lamarosa;637;876;2262;
;185140909: União das freguesias de Coruche, Fajarda e Erra;6993;4116;9610;
;185141201: Azinhaga;3181;338;317;
;185141202: Golegã;3136;213;1421;
;185141203: Pombalinho;300;- -;24;
;185141401: Alcobertas;158;126;157;
;185141402: Arrouquelas;170;158;25;
;185141410: Asseiceira;48;30;6;
;185141405: Fráguas;238;99;5;
;185141408: Rio Maior;523;395;490;
;185141411: São Sebastião;107;104;3;
;185141415: União das freguesias de Azambujeira e Malaqueijo;621;153;18;
;185141416: União das freguesias de Marmeleira e Assentiz;349;144;74;
;185141417: União das freguesias de Outeiro da Cortiçada e Arruda dos Pisões;387;229;29;
;185141418: União das freguesias de São João da Ribeira e Ribeira de São João;451;79;11;
;185141502: Marinhais;561;21;323;
;185141503: Muge;1042;41;1835;
;185141507: União das freguesias de Glória do Ribatejo e Granho;273;65;898;
;185141508: União das freguesias de Salvaterra de Magos e Foros de Salvaterra;4425;77;716;
;185141601: Abitureiras;903;291;154;
;185141602: Abrã;106;153;40;
;185141604: Alcanede;936;763;170;
;185141605: Alcanhões;527;373;317;
;185141606: Almoster;934;391;295;
;185141607: Amiais de Baixo;19;6;4;
;185141608: Arneiro das Milhariças;154;176;- -;
;185141628: Gançaria;38;31;3;
;185141613: Moçarria;385;186;32;
;185141614: Pernes;130;181;131;
;185141616: Póvoa da Isenta;302;72;122;
;185141629: União das freguesias de Achete, Azoia de Baixo e Póvoa de Santarém;3240;899;299;
;185141630: União das freguesias de Azoia de Cima e Tremês;688;497;37;
;185141631: União das freguesias de Casével e Vaqueiros;1273;911;244;
;185141632: União das freguesias de Romeira e Várzea;1146;351;5;
;185141633: União de freguesias da cidade de Santarém;1187;765;546;
;185141634: União das freguesias de São Vicente do Paul e Vale de Figueira;2955;1393;2244;
;185141625: Vale de Santarém;452;91;106;
;186120101: Alter do Chão;2668;1419;9673;
;186120102: Chancelaria;896;208;4702;
;186120104: Cunheira;129;102;2627;
;186120103: Seda;2384;1399;4051;
;186120201: Assunção;5083;1138;12077;
;186120202: Esperança;504;510;2508;
;186120203: Mosteiros;272;277;3738;
;186120302: Aldeia Velha;1181;645;6280;
;186120303: Avis;912;1170;3470;
;186120305: Ervedal;729;1167;1190;
;186120306: Figueira e Barros;1215;959;4041;
;186120309: União das freguesias de Alcórrego e Maranhão;2589;1631;7590;
;186120310: União das freguesias de Benavila e Valongo;1131;2063;9944;
;186120401: Nossa Senhora da Expectação;4153;4089;1624;
;186120402: Nossa Senhora da Graça dos Degolados;828;477;2032;
;186120403: São João Baptista;2300;1832;3533;
;186120501: Nossa Senhora da Graça de Póvoa e Meadas;181;263;4782;
;186120502: Santa Maria da Devesa;276;445;3074;
;186120503: Santiago Maior;718;357;3395;
;186120504: São João Baptista;436;241;3620;
;186120601: Aldeia da Mata;30;172;2354;
;186120604: Gáfete;101;158;1592;
;186120605: Monte da Pedra;398;367;2643;
;186120607: União das freguesias de Crato e Mártires, Flor da Rosa e Vale do Peso;2284;1026;16308;
;186120712: Assunção, Ajuda, Salvador e Santo Ildefonso;2338;1475;4945;
;186120713: Caia, São Pedro e Alcáçova;3037;2057;2676;
;186120706: Santa Eulália;379;158;9855;
;186120707: São Brás e São Lourenço;708;1038;2187;
;186120708: São Vicente e Ventosa;753;1514;7912;
;186120714: União das freguesias de Barbacena e Vila Fernando;785;492;3530;
;186120715: União das freguesias de Terrugem e Vila Boim;1709;905;5855;
;186120801: Cabeço de Vide;1291;507;5430;
;186120802: Fronteira;4628;1903;5986;
;186120803: São Saturnino;952;643;1886;
;186120902: Belver;9;445;156;
;186120903: Comenda;524;2029;6307;
;186120905: Margem;381;93;1124;
;186120906: União das freguesias de Gavião e Atalaia;186;289;2120;
;186121001: Beirã;248;497;2948;
;186121002: Santa Maria de Marvão;62;322;598;
;186121003: Santo António das Areias;107;171;1710;
;186121004: São Salvador da Aramenha;459;696;854;
;186121101: Assumar;702;78;4822;
;186121102: Monforte;4776;1424;16816;
;186121103: Santo Aleixo;1248;827;2844;
;186121104: Vaiamonte;2064;544;4627;
;186121201: Alpalhão;116;340;2011;
;186121205: Montalvão;730;524;4933;
;186121207: Santana;27;297;286;
;186121208: São Matias;265;206;895;
;186121210: Tolosa;294;313;1092;
;186121211: União das freguesias de Arez e Amieira do Tejo;689;952;5480;
;186121212: União das freguesias de Espírito Santo, Nossa Senhora da Graça e São Simão;828;1861;6806;
;186121304: Foros de Arrão;759;2106;7605;
;186121301: Galveias;2267;695;4534;
;186121305: Longomel;262;184;1564;
;186121302: Montargil;1606;3427;16765;
;186121308: União das freguesias de Ponte de Sor, Tramaga e Vale de Açor;2383;2346;36027;
;186121401: Alagoa;244;109;492;
;186121402: Alegrete;556;651;1790;
;186121404: Fortios;509;531;4103;
;186121411: União das freguesias da Sé e São Lourenço;57;504;219;
;186121412: União das freguesias de Reguengo e São Julião;188;768;721;
;186121413: União das freguesias de Ribeira de Nisa e Carreiras;358;446;1809;
;186121410: Urra;2318;678;12165;
;186121501: Cano;1307;1284;1368;
;186121502: Casa Branca;1244;2721;3464;
;186121503: Santo Amaro;1293;305;993;
;186121504: Sousel;1858;2057;3434;
;187070104: Capelins (Santo António);832;388;4813;
;187070103: Santiago Maior;2717;1029;8669;
;187070105: Terena (São Pedro);634;504;4690;
;187070107: União das freguesias de Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto);3504;1821;17212;
;187070201: Arraiolos;3487;674;12544;
;187070202: Igrejinha;1355;528;6451;
;187070208: União das freguesias de Gafanhoeira (São Pedro) e Sabugueiro;724;53;5090;
;187070209: União das freguesias de São Gregório e Santa Justa;2537;851;7413;
;187070206: Vimieiro;3655;951;16546;
;187070301: Borba (Matriz);350;1444;694;
;187070304: Borba (São Bartolomeu);2;1;- -;
;187070302: Orada;1104;781;1059;
;187070303: Rio de Moinhos;439;1040;2075;
;187070401: Arcos;148;794;422;
;187070404: Évora Monte (Santa Maria);336;372;6782;
;187070402: Glória;426;672;3063;
;187070411: São Domingos de Ana Loura;503;224;358;
;187070414: União das freguesias de Estremoz (Santa Maria e Santo André);969;1826;3106;
;187070415: União das freguesias de São Bento do Cortiço e Santo Estêvão;1241;644;2528;
